img_name,labels,top,left,bottom,right,width,height,num_digits
1.png,1.0_9.0,77,246,300,419,173,223,2
10.png,1.0_6.0,4,25,33,48,23,29,2
100.png,1.0_10.0_9.0,0,18,23,42,24,23,3
1000.png,1.0_3.0,1,17,19,27,10,18,2
10000.png,1.0_5.0_3.0,20,45,52,88,43,32,3
10001.png,4.0_1.0,4,27,25,39,12,21,2
10002.png,2.0_1.0_10.0,16,144,69,207,63,53,3
10003.png,5.0_9.0,4,23,23,41,18,19,2
10004.png,8.0_8.0,1,30,37,64,34,36,2
10005.png,1.0_10.0_10.0_10.0,5,47,46,86,39,41,4
10006.png,4.0_2.0,4,22,28,52,30,24,2
10007.png,1.0_6.0,13,71,82,121,50,69,2
10008.png,9.0_2.0,53,129,101,167,38,48,2
10009.png,6.0,4,22,25,33,11,21,1
1001.png,6.0,4,36,35,50,14,31,1
10010.png,1.0_3.0,3,27,32,43,16,29,2
10011.png,1.0_3.0_3.0,4,63,83,147,84,79,3
10012.png,2.0_9.0,2,18,21,34,16,19,2
10013.png,9.0_3.0,3,29,34,52,23,31,2
10014.png,3.0_1.0_5.0,1,30,41,90,60,40,3
10015.png,6.0_5.0,14,52,55,84,32,41,2
10016.png,1.0_6.0,7,51,62,98,47,55,2
10017.png,1.0_1.0,1,63,95,139,76,94,2
10018.png,1.0_6.0_5.0_8.0,2,21,24,58,37,22,4
10019.png,1.0_8.0_3.0,1,18,25,43,25,24,3
1002.png,1.0_4.0_1.0,12,72,52,117,45,40,3
10020.png,1.0_7.0_1.0,9,29,30,53,24,21,3
10021.png,1.0_8.0_5.0,1,24,28,63,39,27,3
10022.png,4.0,13,95,118,144,49,105,1
10023.png,1.0_1.0_1.0,5,39,38,53,14,33,3
10024.png,1.0_2.0,32,186,74,228,42,42,2
10025.png,3.0_5.0_3.0_3.0,3,15,24,59,44,21,4
10026.png,3.0,2,15,16,24,9,14,1
10027.png,5.0_1.0,16,70,72,119,49,56,2
10028.png,8.0_4.0,2,20,20,44,24,18,2
10029.png,7.0_1.0,2,18,22,33,15,20,2
1003.png,5.0_3.0_10.0,14,59,76,136,77,62,3
10030.png,1.0_7.0_3.0,1,57,80,136,79,79,3
10031.png,1.0_1.0,7,45,48,74,29,41,2
10032.png,2.0_4.0,1,15,18,28,13,17,2
10033.png,1.0_1.0,11,34,41,49,15,30,2
10034.png,2.0_10.0_2.0_6.0,1,18,18,55,37,17,4
10035.png,9.0_7.0,7,37,40,69,32,33,2
10036.png,2.0_3.0,3,18,19,40,22,16,2
10037.png,8.0_6.0_10.0,4,42,46,85,43,42,3
10038.png,3.0_2.0,9,51,63,85,34,54,2
10039.png,1.0_9.0,8,45,58,98,53,50,2
1004.png,6.0_4.0,5,27,24,51,24,19,2
10040.png,3.0_2.0,18,54,49,72,18,31,2
10041.png,1.0_3.0_5.0,3,24,30,58,34,27,3
10042.png,1.0_7.0_9.0,41,206,66,245,39,25,3
10043.png,5.0_3.0,1,26,37,61,35,36,2
10044.png,1.0_7.0_4.0,2,24,37,64,40,35,3
10045.png,3.0_1.0,22,123,142,231,108,120,2
10046.png,2.0_5.0,25,200,122,276,76,97,2
10047.png,4.0_7.0_3.0,31,93,96,174,81,65,3
10048.png,7.0_1.0,7,48,64,106,58,57,2
10049.png,1.0,9,41,42,57,16,33,1
1005.png,8.0_7.0,7,28,47,71,43,40,2
10050.png,1.0_5.0_9.0,8,53,71,97,44,63,3
10051.png,1.0,3,18,17,22,4,14,1
10052.png,1.0_3.0,1,10,15,26,16,14,2
10053.png,10.0,81,192,130,217,25,49,1
10054.png,2.0_2.0_6.0_8.0,6,28,25,65,37,19,4
10055.png,2.0_6.0,2,96,115,198,102,113,2
10056.png,2.0_6.0_3.0,3,0,19,23,23,16,3
10057.png,2.0_7.0,1,25,33,50,25,32,2
10058.png,2.0_4.0,1,11,13,25,14,12,2
10059.png,4.0,5,29,32,48,19,27,1
1006.png,2.0_8.0,8,41,47,72,31,39,2
10060.png,3.0_6.0,12,71,82,114,43,70,2
10061.png,2.0_10.0_2.0,6,34,41,70,36,35,3
10062.png,3.0,14,51,53,65,14,39,1
10063.png,6.0_3.0,19,160,59,190,30,40,2
10064.png,1.0_2.0_10.0,1,28,36,54,26,35,3
10065.png,7.0_1.0,7,47,48,74,27,41,2
10066.png,4.0_10.0,2,14,16,25,11,14,2
10067.png,1.0_4.0,2,20,25,35,15,23,2
10068.png,1.0_8.0_3.0,2,57,80,128,71,78,3
10069.png,1.0_9.0_10.0,11,59,66,125,66,55,3
1007.png,1.0_5.0,12,99,120,164,65,108,2
10070.png,4.0_7.0_10.0,4,21,20,44,23,16,3
10071.png,4.0_7.0_8.0,20,100,69,132,32,49,3
10072.png,1.0,5,22,21,26,4,16,1
10073.png,3.0_3.0_7.0_4.0,11,52,53,122,70,42,4
10074.png,9.0_4.0_5.0,14,49,45,95,46,31,3
10075.png,5.0_1.0,2,15,24,30,15,22,2
10076.png,2.0_10.0_3.0,5,28,26,56,28,21,3
10077.png,2.0_7.0,5,32,27,48,16,22,2
10078.png,2.0_6.0,6,40,50,79,39,44,2
10079.png,1.0_6.0_3.0,11,51,63,131,80,52,3
1008.png,1.0_2.0_8.0,11,63,72,120,57,61,3
10080.png,1.0_1.0_9.0,4,30,27,53,23,23,3
10081.png,4.0,1,38,31,51,13,30,1
10082.png,7.0_6.0,5,25,28,44,19,23,2
10083.png,2.0_10.0,4,31,41,71,40,37,2
10084.png,1.0_7.0,6,22,23,36,14,17,2
10085.png,1.0_7.0,3,19,21,36,17,18,2
10086.png,9.0,5,38,47,60,22,42,1
10087.png,1.0_5.0,2,12,18,29,17,16,2
10088.png,4.0_6.0_8.0,27,66,62,108,42,35,3
10089.png,1.0,1,21,23,28,7,22,1
1009.png,2.0_1.0,5,26,35,55,29,30,2
10090.png,4.0_6.0_3.0,20,40,44,69,29,24,3
10091.png,3.0_2.0,3,29,34,57,28,31,2
10092.png,1.0_1.0_6.0,20,69,55,108,39,35,3
10093.png,4.0_2.0,19,49,50,88,39,31,2
10094.png,4.0_9.0_3.0,6,28,31,74,46,25,3
10095.png,5.0,18,66,79,94,28,61,1
10096.png,3.0_1.0,17,72,83,107,35,66,2
10097.png,7.0,2,15,19,29,14,17,1
10098.png,5.0,1,15,17,25,10,16,1
10099.png,1.0_3.0_3.0,1,14,19,34,20,18,3
101.png,5.0_3.0,5,27,34,54,27,29,2
1010.png,2.0_10.0_7.0,1,16,19,42,26,18,3
10100.png,4.0_4.0,6,29,32,66,37,26,2
10101.png,2.0_1.0_3.0,14,60,52,114,54,38,3
10102.png,1.0_10.0_4.0,23,81,58,132,51,35,3
10103.png,2.0_9.0,6,45,57,104,59,51,2
10104.png,1.0_7.0_10.0_6.0,1,28,35,114,86,34,4
10105.png,8.0_8.0,36,109,90,175,66,54,2
10106.png,1.0_2.0,21,70,54,100,30,33,2
10107.png,6.0_10.0,6,48,58,92,44,52,2
10108.png,1.0_3.0,6,34,29,59,25,23,2
10109.png,2.0,4,26,33,38,12,29,1
1011.png,2.0_5.0_7.0,10,99,60,138,39,50,3
10110.png,7.0,3,15,18,26,11,15,1
10111.png,8.0_2.0,10,30,34,66,36,24,2
10112.png,1.0_5.0_6.0,9,61,77,134,73,68,3
10113.png,2.0_4.0,3,45,52,85,40,49,2
10114.png,4.0_2.0_4.0,11,36,30,53,17,19,3
10115.png,4.0_5.0,3,19,23,38,19,20,2
10116.png,2.0_4.0,3,26,26,55,29,23,2
10117.png,4.0_5.0,2,16,13,30,14,11,2
10118.png,2.0_7.0,3,23,30,48,25,27,2
10119.png,6.0_5.0,6,24,27,44,20,21,2
1012.png,1.0_3.0,2,26,35,56,30,33,2
10120.png,7.0_6.0,9,43,45,83,40,36,2
10121.png,1.0_5.0,6,50,50,78,28,44,2
10122.png,2.0,5,27,34,46,19,29,1
10123.png,3.0_2.0,23,108,107,200,92,84,2
10124.png,2.0_2.0,5,41,47,79,38,42,2
10125.png,2.0_8.0_10.0,33,112,99,203,91,66,3
10126.png,4.0_10.0,4,21,25,36,15,21,2
10127.png,1.0_7.0,1,32,45,55,23,44,2
10128.png,3.0_10.0_10.0,7,33,38,58,25,31,3
10129.png,3.0_3.0_2.0,9,74,58,143,69,49,3
1013.png,2.0_9.0_3.0,6,28,25,63,35,19,3
10130.png,2.0,6,38,22,49,11,16,1
10131.png,2.0_10.0,11,56,66,115,59,55,2
10132.png,3.0_3.0_5.0_10.0,2,25,24,75,50,22,4
10133.png,1.0_2.0_2.0,11,35,33,57,22,22,3
10134.png,1.0_3.0_8.0_2.0,1,20,23,69,49,22,4
10135.png,2.0_4.0_10.0,12,46,56,99,53,44,3
10136.png,9.0,1,32,36,56,24,35,1
10137.png,1.0_8.0_5.0,14,72,80,127,55,66,3
10138.png,4.0,13,71,55,91,20,42,1
10139.png,3.0_3.0,4,52,73,122,70,69,2
1014.png,1.0_2.0_6.0_9.0,2,138,56,203,65,54,4
10140.png,2.0_9.0_4.0,15,54,36,84,30,21,3
10141.png,1.0_9.0,2,16,17,34,18,15,2
10142.png,2.0_1.0,3,33,43,57,24,40,2
10143.png,1.0_3.0_9.0,11,32,35,52,20,24,3
10144.png,8.0_3.0,73,163,122,208,45,49,2
10145.png,5.0,9,42,54,58,16,45,1
10146.png,5.0_5.0,18,74,71,114,40,53,2
10147.png,4.0_3.0_10.0,15,84,103,167,83,88,3
10148.png,3.0_8.0_7.0,1,23,23,47,24,22,3
10149.png,6.0_3.0,5,34,41,69,35,36,2
1015.png,1.0_8.0,11,39,39,62,23,28,2
10150.png,4.0,70,82,134,113,31,64,1
10151.png,5.0_6.0,1,34,34,69,35,33,2
10152.png,4.0_2.0,7,32,36,65,33,29,2
10153.png,3.0_8.0,1,15,14,30,15,13,2
10154.png,4.0,2,16,18,27,11,16,1
10155.png,4.0_3.0,3,19,25,51,32,22,2
10156.png,3.0_6.0,3,20,18,33,13,15,2
10157.png,1.0_8.0_6.0,20,95,89,186,91,69,3
10158.png,2.0,5,27,27,38,11,22,1
10159.png,2.0_6.0_1.0_8.0,1,18,22,79,61,21,4
1016.png,1.0_4.0,11,40,44,64,24,33,2
10160.png,4.0_3.0,1,25,31,49,24,30,2
10161.png,1.0_3.0_2.0,15,104,47,146,42,32,3
10162.png,1.0_9.0_7.0,5,21,23,42,21,18,3
10163.png,9.0_1.0_5.0,6,38,33,65,27,27,3
10164.png,7.0_9.0,3,27,22,41,14,19,2
10165.png,5.0_4.0,14,62,51,116,54,37,2
10166.png,6.0_9.0,11,52,55,84,32,44,2
10167.png,8.0,1,30,34,45,15,33,1
10168.png,6.0,39,131,122,165,34,83,1
10169.png,4.0_7.0,1,26,33,56,30,32,2
1017.png,4.0_7.0,5,33,28,61,28,23,2
10170.png,6.0_8.0,5,27,27,50,23,22,2
10171.png,4.0_1.0_8.0,19,63,44,95,32,25,3
10172.png,4.0_8.0,6,34,31,54,20,25,2
10173.png,7.0,21,66,79,111,45,58,1
10174.png,6.0,2,24,23,34,10,21,1
10175.png,1.0_3.0_3.0,7,46,45,93,47,38,3
10176.png,2.0_5.0_5.0_4.0,1,9,12,32,23,11,4
10177.png,4.0_1.0,2,27,27,48,21,25,2
